* Measurement data measured by REW V5.20.4
* Source: Lyra R
* Format: 
* Dated: Jul 11, 2022 3:32:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Lyra R
* Measurement: A times B
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB)
11197.982422 59.250
11279.127930 58.668
11360.861328 57.984
11443.186523 57.227
11526.108398 56.421
11609.630859 55.591
11693.758789 54.763
11778.497070 53.957
11863.848633 53.186
11949.819336 52.467
12036.413086 51.828
12123.633789 51.306
12211.486328 50.900
12299.975586 50.570
12389.106445 50.282
12478.882812 50.021
12569.309570 49.784
12660.391602 49.575
12752.133789 49.390
12844.541016 49.204
12937.618164 48.987
13031.369141 48.742
13125.799805 48.486
13220.915039 48.226
13316.719727 47.956
13413.217773 47.680
13510.415039 47.416
13608.317383 47.141
13706.928711 46.687
13806.254883 45.745
13906.300781 44.129
14007.071289 42.211
14108.572266 41.015
14210.808594 40.896
14313.786133 41.208
14417.509766 41.582
14521.985352 42.128
14627.217773 43.008
14733.212891 44.053
14839.975586 45.102
14947.511719 46.159
15055.827148 47.285
15164.927734 48.501
15274.819336 49.695
15385.506836 50.890
15496.996094 52.136
15609.293945 53.391
15722.405273 54.640
15836.335938 55.871
15951.092773 57.011
16066.680664 57.941
16183.106445 58.532
16300.375977 58.668
16418.496094 58.274
16537.470703 57.340
16657.308594 55.938
16778.013672 54.203
16899.593750 52.357
17022.054688 50.616
17145.404297 49.057
17269.646484 47.724
17394.789062 46.625
17520.839844 45.689
17647.802734 44.817
17775.685547 43.946
17904.496094 43.032
18034.240234 42.041
18164.923828 40.960
18296.554688 39.787
18429.138672 38.538
18562.683594 37.250
18697.197266 35.974
18832.685547 34.762
18969.154297 33.650
19106.613281 32.658
19245.068359 31.788
19384.525391 31.025
19524.994141 30.333
19666.480469 29.677
19808.992188 29.087
19952.537109 28.804
