* Measurement data measured by REW V5.20.4
* Source: Lyra L
* Format: 
* Dated: Jul 11, 2022 3:32:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Lyra L
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB)
1617.203003 65.547
1628.921875 65.633
1640.725708 65.719
1652.615112 65.804
1664.590698 65.891
1676.652954 65.979
1688.802612 66.066
1701.040405 66.154
1713.366821 66.241
1725.782593 66.328
1738.288330 66.415
1750.884644 66.503
1763.572266 66.592
1776.351807 66.682
1789.223999 66.774
1802.189453 66.868
1815.248901 66.963
1828.402954 67.059
1841.652344 67.155
1854.997681 67.251
1868.439819 67.346
1881.979248 67.441
1895.616821 67.536
1909.353271 67.630
1923.189209 67.725
1937.125488 67.819
1951.162720 67.911
1965.301636 68.003
1979.542969 68.092
1993.887573 68.179
2008.336060 68.263
2022.889282 68.346
2037.547974 68.428
2052.312988 68.508
2067.184814 68.588
2082.164551 68.666
2097.252686 68.743
2112.450195 68.816
2127.757812 68.887
2143.176514 68.955
2158.706787 69.019
2174.349609 69.079
2190.105957 69.134
2205.976318 69.187
2221.961670 69.235
2238.062988 69.280
2254.281006 69.320
2270.616455 69.357
2287.070312 69.390
2303.643311 69.419
2320.336426 69.443
2337.150635 69.464
2354.086670 69.479
2371.145264 69.490
2388.327637 69.496
2405.634521 69.498
2423.066650 69.497
2440.625244 69.493
2458.311035 69.487
2476.125000 69.478
2494.068115 69.466
2512.141113 69.451
2530.345215 69.432
2548.681152 69.410
2567.149902 69.386
2585.752441 69.361
2604.489990 69.333
2623.363281 69.305
2642.373291 69.275
2661.520996 69.243
2680.807373 69.209
2700.233643 69.173
2719.800537 69.135
2739.509277 69.094
2759.360840 69.051
2779.356201 69.006
2799.496582 68.959
2819.782959 68.910
2840.216309 68.860
2860.797607 68.810
2881.528076 68.759
2902.408936 68.708
2923.440918 68.658
2944.625488 68.607
2965.963379 68.555
2987.456055 68.503
3009.104492 68.451
3030.909668 68.400
3052.872803 68.349
3074.995117 68.299
3097.277832 68.249
3119.721924 68.198
3142.328613 68.148
3165.099121 68.097
3188.034668 68.045
3211.136475 67.994
3234.405762 67.945
3257.843506 67.898
3281.451172 67.854
3305.229980 67.812
3329.181152 67.773
3353.305664 67.735
3377.604980 67.699
3402.080566 67.664
3426.733398 67.632
3451.564941 67.601
3476.576416 67.573
3501.769043 67.546
3527.144287 67.522
3552.703369 67.501
3578.447754 67.486
3604.378662 67.475
3630.497559 67.469
3656.805664 67.467
3683.304443 67.469
3709.995117 67.475
3736.879150 67.485
3763.958008 67.497
3791.233154 67.510
3818.706055 67.524
3846.377930 67.541
3874.250488 67.561
3902.324951 67.585
3930.602783 67.612
3959.085449 67.642
3987.774658 67.674
4016.671631 67.709
4045.778076 67.748
4075.095459 67.790
4104.625488 67.835
4134.369141 67.882
4164.328613 67.932
4194.504883 67.984
4224.899902 68.038
4255.515137 68.094
4286.352539 68.152
4317.413086 68.214
4348.698730 68.280
4380.211426 68.350
4411.952148 68.422
4443.922852 68.493
4476.125488 68.561
4508.561523 68.625
4541.232422 68.686
4574.140137 68.743
4607.286133 68.793
4640.672363 68.836
4674.300781 68.868
4708.172852 68.889
4742.290039 68.899
4776.654785 68.895
4811.268555 68.879
4846.132812 68.850
4881.250000 68.806
4916.621582 68.750
4952.249512 68.680
4988.135742 68.598
5024.281738 68.505
5060.689941 68.400
5097.361816 68.288
5134.299316 68.169
5171.504395 68.046
5208.979004 67.919
5246.725586 67.789
5284.745605 67.655
5323.041016 67.519
5361.613770 67.380
5400.466309 67.237
5439.600098 67.089
5479.017578 66.934
5518.720703 66.774
5558.711426 66.612
5598.992188 66.451
5639.564941 66.293
5680.431641 66.140
5721.594238 65.994
5763.055176 65.855
5804.816406 65.729
5846.880371 65.618
5889.249512 65.520
5931.925293 65.434
5974.910645 65.355
6018.207520 65.285
6061.817871 65.222
6105.744141 65.167
6149.988770 65.120
6194.554199 65.076
6239.442383 65.034
6284.655762 64.990
6330.196777 64.948
6376.067871 64.907
6422.271484 64.870
6468.810059 64.837
6515.685547 64.808
6562.900879 64.786
6610.458496 64.771
6658.360840 64.765
6706.609863 64.770
6755.208496 64.788
6804.159668 64.821
6853.465332 64.874
6903.128418 64.948
6953.151367 65.046
7003.536621 65.173
7054.287109 65.331
7105.405273 65.525
7156.894043 65.761
7208.755859 66.038
7260.993652 66.361
7313.609863 66.730
7366.607422 67.147
7419.988770 67.617
7473.756836 68.142
7527.914551 68.730
7582.464844 69.384
7637.410645 70.103
7692.754395 70.875
7748.499023 71.658
7804.647949 72.395
7861.203613 73.028
7918.168945 73.512
7975.547363 73.818
8033.341309 73.929
8091.554199 73.838
8150.188965 73.536
8209.249023 73.018
8268.736328 72.298
8328.655273 71.419
8389.007812 70.445
8449.797852 69.449
8511.028320 68.480
8572.703125 67.562
8634.824219 66.698
8697.395508 65.887
8760.420898 65.120
8823.902344 64.382
8887.843750 63.666
8952.249023 62.991
9017.121094 62.395
9082.462891 61.894
9148.278320 61.468
9214.570312 61.091
9281.342773 60.749
9348.599609 60.437
9416.343750 60.152
9484.578125 59.894
9553.307617 59.663
9622.535156 59.464
9692.263672 59.298
9762.498047 59.167
9833.241211 59.070
9904.497070 59.008
9976.269531 58.982
10048.561523 58.991
10121.377930 59.033
10194.721680 59.111
10268.596680 59.219
10343.006836 59.351
10417.956055 59.496
10493.449219 59.646
10569.489258 59.793
10646.080078 59.933
10723.225586 60.062
10800.930664 60.172
10879.198242 60.248
10958.033203 60.274
11037.439453 60.238
11117.420898 60.130
11197.982422 59.937
11279.127930 59.653
11360.861328 59.282
11443.186523 58.833
11526.108398 58.307
11609.630859 57.713
11693.758789 57.071
11778.497070 56.402
11863.848633 55.723
11949.819336 55.060
12036.413086 54.448
12123.633789 53.928
12211.486328 53.503
12299.975586 53.139
12389.106445 52.810
12478.882812 52.504
12569.309570 52.219
12660.391602 51.960
12752.133789 51.727
12844.541016 51.493
12937.618164 51.231
13031.369141 50.939
13125.799805 50.626
13220.915039 50.293
13316.719727 49.927
13413.217773 49.516
13510.415039 49.057
13608.317383 48.549
13706.928711 47.978
13806.254883 47.357
13906.300781 46.753
14007.071289 46.251
14108.572266 45.908
14210.808594 45.720
14313.786133 45.662
14417.509766 45.765
14521.985352 46.197
14627.217773 47.098
14733.212891 48.269
14839.975586 49.527
14947.511719 50.828
15055.827148 52.100
15164.927734 53.115
15274.819336 53.491
15385.506836 53.174
15496.996094 52.810
15609.293945 53.466
15722.405273 55.141
15836.335938 56.920
15951.092773 58.256
16066.680664 58.958
